cooling_area,work_time,building_type_Hospital,building_type_University,building_type_Research Institute,solar_power_capacity,low_day,total_area,sy_en,holiday,building_number,building_type_Commercial,hour_cos,temperature,hour_sin,date_sin,discomfort,weekday_sin,weekday_cos,CDH,answer
-0.14801071402450675,0,0,0,0,-0.31647286331188895,0,-0.1004239782323886,1,0,16,0,1.3300418679777637,-0.5121297338613466,5.347278682340761e-17,-1.8410184828075484,-0.36331923672441274,0.6135662212740141,1.2740833866896897,1.504442235304798,1375.1085860652342
-0.14801071402450675,0,0,0,0,-0.31647286331188895,0,-0.1004239782323886,1,0,16,0,1.2785758919023387,-0.5816160366006763,0.3897324062628249,-1.8410184828075484,-0.43670042905374257,0.6135662212740141,1.2740833866896897,1.2968243692453933,1200.3527767670994
-0.14801071402450675,0,0,0,0,-0.31647286331188895,0,-0.1004239782323886,1,0,16,0,1.1279949596804033,-0.5816160366006763,0.7505601428602594,-1.8410184828075484,-0.43670042905374257,0.6135662212740141,1.2740833866896897,1.0892065031859888,1226.7537367151494
-0.14801071402450675,0,0,0,0,-0.31647286331188895,0,-0.1004239782323886,1,0,16,0,0.889466970192931,-0.7553317934490011,1.0557222672459305,-1.8410184828075484,-0.6037496399096094,0.6135662212740141,1.2740833866896897,0.8633765436126011,1197.3231868525395
-0.14801071402450675,0,0,0,0,-0.31647286331188895,0,-0.1004239782323886,1,0,16,0,0.5806824532272636,-0.8595612475579963,1.2825863006779805,-1.8410184828075484,-0.7274694810467406,0.6135662212740141,1.2740833866896897,0.6266193279308239,1311.9161923583417
-0.14801071402450675,1,0,0,0,-0.31647286331188895,0,-0.1004239782323886,1,0,16,0,0.22454254381157412,-0.929047550297326,1.4143267756306492,-1.8410184828075484,-0.8192704681229135,0.6135662212740141,1.2740833866896897,0.38257727484345366,2593.3839611923627
-0.14801071402450675,1,0,0,0,-0.31647286331188895,0,-0.1004239782323886,1,0,16,0,-0.15253949020445148,-0.9637907016669914,1.4411731037492679,-1.8410184828075484,-0.8403404981912438,0.6135662212740141,1.2740833866896897,0.1348928030532866,3570.7397677417516
-0.14801071402450675,1,0,0,0,-0.31647286331188895,0,-0.1004239782323886,1,0,16,0,-0.5225971993933666,-0.5816160366006763,1.361134215691058,-1.8410184828075484,-0.3449785534797025,0.6135662212740141,1.2740833866896897,-0.07272506300611788,4059.5448562674705
-0.14801071402450675,1,0,0,0,-0.31647286331188895,0,-0.1004239782323886,1,0,16,0,-0.8581850963660022,-0.09521191742536726,1.180146229629748,-1.8410184828075484,0.18763172348654483,0.6135662212740141,1.2740833866896897,-0.22934906722637066,4142.849206957676
-0.14801071402450675,1,0,0,0,-0.31647286331188895,0,-0.1004239782323886,1,0,16,0,-1.1344141620163735,0.5649079585982679,0.9116321965265621,-1.8410184828075484,0.8198196481887297,0.6135662212740141,1.2740833866896897,-0.31676711609348834,4183.621680755227
-0.14801071402450675,1,0,0,0,-0.31647286331188895,0,-0.1004239782323886,1,0,16,0,-1.3307977502090833,1.1207983805129067,0.5755065738467976,-1.8410184828075484,1.327272467476402,0.6135662212740141,1.2740833866896897,-0.3459064657158608,4159.945841199318
-0.14801071402450675,1,0,0,0,-0.31647286331188895,0,-0.1004239782323886,1,0,16,0,-1.4327709886030147,1.7461751051668764,0.19669826135220755,-1.8410184828075484,1.9283827570903198,0.6135662212740141,1.2740833866896897,-0.3094822786878951,4092.6731971322574
