work_time,total_area,cooling_area,building_number,hour_cos,hour_sin,temperature,holiday,discomfort,weekday_sin,date_sin,CDH_mean,weekday_cos,discomfort_mean,temperature_mean,solar_power_capacity,ma_dis_3,CDH,windspeed,humidity,sensory_temperature,ma_dis_5,discomfort_3,temperature_3,answer
0,0.1941918196922866,1.465335646280889,37,1.3298769015439247,5.349423788004327e-17,0.4813329792798083,0,71.7898,0.6134901200370134,-1.8407901394730648,-31.825,1.27392536084259,70.62560917,22.40833333,3.2582503583735303,71.7898,-2.5,0.45625357601104677,-0.37281652848663344,25.39706282,71.7898,0.0,0.0,1075.5703927557256
0,0.1941918196922866,1.465335646280889,37,1.2784173088454005,0.3896840673595424,0.3227917764192907,0,71.0284,0.6134901200370134,-1.8407901394730648,-31.825,1.27392536084259,70.62560917,22.40833333,3.2582503583735303,71.4091,-5.5,-0.7590315036543258,-0.37281652848663344,25.20162023,71.4091,0.0,0.0,1079.9599632492575
0,0.1941918196922866,1.465335646280889,37,1.1278550533283052,0.7504670501290152,0.22766705470297993,0,70.81675,0.6134901200370134,-1.8407901394730648,-31.825,1.27392536084259,70.62560917,22.40833333,3.2582503583735303,71.21165,-8.8,-0.19813069765492317,-0.18249033921617203,24.69978758,71.21165,0.0,0.0,1076.0031369707942
0,0.1941918196922866,1.465335646280889,37,0.8893566487078541,1.05559132494873,0.03741761127035953,0,70.11262,0.6134901200370134,-1.8407901394730648,-31.825,1.27392536084259,70.62560917,22.40833333,3.2582503583735303,70.65259,-12.7,-0.3850976329880573,0.007835850054289401,24.13601813,70.9368925,-1.67718,-1.4,1062.1346613823032
0,0.1941918196922866,1.465335646280889,37,0.5806104305971443,1.2824272202059859,-0.05770711044595123,0,69.56514,0.6134901200370134,-1.8407901394730648,-31.825,1.27392536084259,70.62560917,22.40833333,3.2582503583735303,70.16483667,-16.9,-0.6655480359877587,-0.0556062130358644,23.9424,70.662542,-1.46326,-1.2,1045.8438770212797
0,0.1941918196922866,1.465335646280889,37,0.22451469357348175,1.4141513552547236,-0.12112359159015804,0,69.53404,0.6134901200370134,-1.8407901394730648,-31.825,1.27392536084259,70.62560917,22.40833333,3.2582503583735303,69.73726667,-21.3,-0.10464722998835597,0.19816203932475082,23.51968159,70.21139,-1.28271,-1.1,994.4773183154128
0,0.1941918196922866,1.465335646280889,37,-0.15252057057768875,1.4409943535961989,-0.152831832162262,0,69.5824,0.6134901200370134,-1.8407901394730648,-31.825,1.27392536084259,70.62560917,22.40833333,3.2582503583735303,69.56052667,-25.8,0.5497370436776136,0.38848822859521226,23.23140034,69.92219,-0.53022,-0.6,1326.34079718759
1,0.1941918196922866,1.465335646280889,37,-0.522532381135839,1.3609653928419712,-0.0894153510180552,0,69.83889,0.6134901200370134,-1.8407901394730648,-31.825,1.27392536084259,70.62560917,22.40833333,3.2582503583735303,69.65177667,-30.1,-0.29161416532149037,0.32504616550505844,23.6876124,69.726618,0.27375,-0.1,2449.7670882888083
1,0.1941918196922866,1.465335646280889,37,-0.8580786548032716,1.179999854903047,0.10083409241456633,0,70.74014,0.6134901200370134,-1.8407901394730648,-31.825,1.27392536084259,70.62560917,22.40833333,3.2582503583735303,70.05381,-33.8,0.45625357601104677,0.2616041024149046,24.11148869,69.852122,1.2061,0.7,3831.6468815335656
1,0.1941918196922866,1.465335646280889,37,-1.1342734594841346,0.9115191258661065,0.22766705470297993,0,71.06194,0.6134901200370134,-1.8407901394730648,-31.825,1.27392536084259,70.62560917,22.40833333,3.2582503583735303,70.54699,-37.1,0.6432205113441807,0.007835850054289401,24.50232933,70.151482,1.47954,1.2,4807.045297423398
