building_number,total_area,cooling_area,work_time,ma_dis_5,hour_sin,date_sin,hour_cos,CDH,holiday,humidity,ma_dis_3,discomfort,discomfort_3,weekday_cos,sensory_temperature,weekday_sin,temperature_3,discomfort_mean,temperature,answer
32,-0.5624599760784029,0.29162350246500185,0,71.7898,5.350166143068316e-17,-1.840711090931173,1.3298197930103934,-2.5,0,-0.2583483126147888,71.7898,71.7898,0.0,1.2738706550204975,25.39706282,0.6134637751015928,0.0,70.62560917,0.5569828948893834,7541.050555190924
32,-0.5624599760784029,0.29162350246500185,0,71.4091,0.3896673332651295,-1.840711090931173,1.2783624101268316,-5.5,0,-0.2583483126147888,71.4091,71.0284,0.0,1.2738706550204975,25.20162023,0.6134637751015928,0.0,70.62560917,0.3687652494556201,7489.797767013132
32,-0.5624599760784029,0.29162350246500185,0,71.21165,0.7504348230314185,-1.840711090931173,1.1278066201627568,-8.8,0,-0.06533826195890557,71.21165,70.81675,0.0,1.2738706550204975,24.69978758,0.6134637751015928,0.0,70.62560917,0.2558346621953619,7458.727018789415
32,-0.5624599760784029,0.29162350246500185,0,70.9368925,1.055545994984349,-1.840711090931173,0.8893184573128949,-12.7,0,0.12767178869697765,70.65259,70.11262,-1.67718,1.2738706550204975,24.13601813,0.6134637751015928,-1.4,70.62560917,0.029973487674846783,7508.535204529967
32,-0.5624599760784029,0.29162350246500185,0,70.662542,1.2823721492909081,-1.840711090931173,0.5805854976050713,-16.9,0,0.06333510514501657,70.16483667,69.56514,-1.46326,1.2738706550204975,23.9424,0.6134637751015928,-1.2,70.62560917,-0.08295709958541145,7499.897288093266
32,-0.5624599760784029,0.29162350246500185,0,70.21139,1.4140906277467877,-1.840711090931173,0.22450505230150286,-21.3,0,0.3206818393528609,69.73726667,69.53404,-1.28271,1.2738706550204975,23.51968159,0.6134637751015928,-1.1,70.62560917,-0.15824415775891648,7558.623995744034
32,-0.5624599760784029,0.29162350246500185,0,69.92219,1.4409324733768585,-1.840711090931173,-0.15251402092928978,-25.8,0,0.513691890008744,69.56052667,69.5824,-0.53022,1.2738706550204975,23.23140034,0.6134637751015928,-0.6,70.62560917,-0.19588768684566968,7600.457294376132
32,-0.5624599760784029,0.29162350246500185,0,69.726618,1.3609069492840118,-1.840711090931173,-0.5225099421732744,-30.1,0,0.449355206456783,69.65177667,69.83889,0.27375,1.2738706550204975,23.6876124,0.6134637751015928,-0.1,70.62560917,-0.12060062867216463,7605.312935088618
32,-0.5624599760784029,0.29162350246500185,0,69.852122,1.1799491824978008,-1.840711090931173,-0.8580418065704966,-33.8,0,0.3850185229048219,70.05381,70.74014,1.2061,1.2738706550204975,24.11148869,0.6134637751015928,0.7,70.62560917,0.10526054584835182,7578.09315697755
32,-0.5624599760784029,0.29162350246500185,0,70.151482,0.9114799827540598,-1.840711090931173,-1.1342247506947576,-37.1,0,0.12767178869697765,70.54699,71.06194,1.47954,1.2738706550204975,24.50232933,0.6134637751015928,1.2,70.62560917,0.2558346621953619,7586.283778651877
