work_time,building_number,total_area,particular,hour_cos,cooling_area,hour_sin,ess_capacity,solar_power_capacity,weekday_cos,date_sin,low_day,temperature,weekday_sin,discomfort,temperature_mean,holiday,CDH_mean,ma_dis_5,discomfort_mean,humidity,ma_dis_3,CDH,sensory_temperature,temperature_3,windspeed,discomfort_3,answer
0,1,0.2747615823136606,0,1.3299522148456704,-0.14804767898860116,5.348444597277101e-17,-0.2706289322131571,-0.4261172640448441,1.27399750550875,-1.8408943867076346,0,0.5499069695600407,0.6135248630771185,0.6190432898049384,0.2852129636803612,0,0.7918187131473372,0.6467005761321176,0.4752676866014548,-0.3247370063661856,0.6288175892842546,1.6434099364857573,0.4917147504026674,0.007907100649736681,0.3040728796228647,0.00626113090008358,1341.6181431496927
0,1,0.2747615823136606,0,1.2784897078985957,-0.14804767898860116,0.38970613586356523,-0.2706289322131571,-0.4261172640448441,1.27399750550875,-1.8408943867076346,0,0.3728044565676581,0.6135248630771185,0.41157793496531403,0.2852129636803612,0,0.7918187131473372,0.5377532705464777,0.4752676866014548,-0.3247370063661856,0.5230457049121849,1.5328944348649394,0.4230873888049416,0.007907100649736681,-0.9079719457394526,0.00626113090008358,1217.186232239772
0,1,0.2747615823136606,0,1.1279189257723323,-0.14804767898860116,0.7505095504170741,-0.2706289322131571,-0.4261172640448441,1.27399750550875,-1.8408943867076346,0,0.26654294877222834,0.6135248630771185,0.35390779791276866,0.2852129636803612,0,0.7918187131473372,0.4812477662441841,0.4752676866014548,-0.13995635754442926,0.4681871323635541,1.4113273830820396,0.2468747693697655,0.007907100649736681,-0.3485666417260755,0.00626113090008358,1188.6946669600022
0,1,0.2747615823136606,0,0.8894070145616907,-0.14804767898860116,1.0556511049688857,-0.2706289322131571,-0.4261172640448441,1.27399750550875,-1.8408943867076346,0,0.05401993318137,0.6135248630771185,0.16204730368736264,0.2852129636803612,0,0.7918187131473372,0.40261869003076967,0.4752676866014548,0.04482429127732706,0.3128605506008833,1.267657230974977,0.048913772726704906,-0.7195461591260383,-0.5350350763972012,-0.7074115608848843,1164.3146966931395
0,1,0.2747615823136606,0,0.5806433116017737,-0.14804767898860116,1.2824998463476187,-0.2706289322131571,-0.4261172640448441,1.27399750550875,-1.8408943867076346,0,-0.05224157461405979,0.6135248630771185,0.012870612765902338,0.2852129636803612,0,0.7918187131473372,0.32410608755881687,0.4752676866014548,-0.01676925832992504,0.1773454762041097,1.112935528705832,-0.01907295124878883,-0.6156242648723562,-0.8147377284038898,-0.616384442610972,1154.2252326481112
0,1,0.2747615823136606,0,0.22452740824116552,-0.14804767898860116,1.414231441169151,-0.2706289322131571,-0.4261172640448441,1.27399750550875,-1.8408943867076346,0,-0.12308257981101256,0.6135248630771185,0.004396522228062397,0.2852129636803612,0,0.7918187131473372,0.19499709147378175,0.4752676866014548,0.22960494009908336,0.058551453086259496,0.9508461263286324,-0.16750553790805126,-0.5636633177455151,-0.2553324243905125,-0.5395569079982435,1240.6544349858052
0,1,0.2747615823136606,0,-0.15252920808973294,-0.14804767898860116,1.4410759596775167,-0.2706289322131571,-0.4261172640448441,1.27399750550875,-1.8408943867076346,0,-0.15850308240948957,0.6135248630771185,0.017573596775008554,0.2852129636803612,0,0.7918187131473372,0.11223491449619828,0.4752676866014548,0.41438558892083965,0.009446848820646529,0.7850728738974058,-0.26873210058098,-0.3038585821113097,0.39730709695842725,-0.2193577857565816,1480.6011580986608
1,1,0.2747615823136606,0,-0.5225619730769027,-0.14804767898860116,1.3610424667404508,-0.2706289322131571,-0.4261172640448441,1.27399750550875,-1.8408943867076346,0,-0.0876620772125368,0.6135248630771185,0.08746168301458765,0.2852129636803612,0,0.7918187131473372,0.05626684922697222,0.4752676866014548,0.35279203931358755,0.03479931650898768,0.6266673215742335,-0.10853861354796736,-0.04405384647710439,-0.4418008590616384,0.12274707717665197,2221.3491933887803
1,1,0.2747615823136606,0,-0.858127249328506,-0.14804767898860116,1.180066680400228,-0.2706289322131571,-0.4261172640448441,1.27399750550875,-1.8408943867076346,0,0.12486093837832278,0.6135248630771185,0.3330331973949538,0.2852129636803612,0,0.7918187131473372,0.09218311568407532,0.4752676866014548,0.2911984897063355,0.14649835221814725,0.4903648695752251,0.040300549024186325,0.3716337305376242,0.3040728796228647,0.5194801256185096,2874.8526841681946
1,1,0.2747615823136606,0,-1.1343376954139543,-0.14804767898860116,0.9115707468205693,-0.2706289322131571,-0.4261172640448441,1.27399750550875,-1.8408943867076346,0,0.26654294877222834,0.6135248630771185,0.4207168737640026,0.2852129636803612,0,0.7918187131473372,0.17785284355409783,0.4752676866014548,0.04482429127732706,0.2835211468979901,0.3687978177923254,0.1775396325236757,0.6314384661718295,0.49054131429399017,0.6358341608691576,3238.1845225892416
1,1,0.2747615823136606,0,-1.3307080461258018,-0.14804767898860116,0.5754677811079117,-0.2706289322131571,-0.4261172640448441,1.27399750550875,-1.8408943867076346,0,0.5499069695600407,0.6135248630771185,0.7411819098559794,0.2852129636803612,0,0.7918187131473372,0.3326175421496441,0.4752676866014548,-0.01676925832992504,0.5057115628949203,0.2767015664416439,0.5886068384072154,0.9432041489328761,-0.8147377284038898,1.027150346859506,3838.3501865754492
