building_number,total_area,cooling_area,work_time,ma_dis_5,hour_cos,date_sin,hour_sin,CDH,holiday,humidity,ma_dis_3,discomfort,weekday_cos,weekday_sin,discomfort_3,CDH_mean,temperature_3,discomfort_mean,temperature_mean,sensory_temperature,temperature,windspeed,answer
32,-0.7285611024137325,-0.5237835426139125,0,71.7898,1.3298197930103934,-1.840711090931173,5.350166143068316e-17,-2.5,0,-0.2583483126147888,71.7898,71.7898,1.2738706550204975,0.6134637751015928,0.0,-31.825,0.0,70.62560917,22.40833333,25.39706282,0.5569828948893834,0.19235429844609334,4902.607403437971
32,-0.7285611024137325,-0.5237835426139125,0,71.4091,1.2783624101268316,-1.840711090931173,0.3896673332651295,-5.5,0,-0.2583483126147888,71.4091,71.0284,1.2738706550204975,0.6134637751015928,0.0,-31.825,0.0,70.62560917,22.40833333,25.20162023,0.3687652494556201,-1.142606161461357,4968.356607452442
32,-0.7285611024137325,-0.5237835426139125,0,71.21165,1.1278066201627568,-1.840711090931173,0.7504348230314185,-8.8,0,-0.06533826195890557,71.21165,70.81675,1.2738706550204975,0.6134637751015928,0.0,-31.825,0.0,70.62560917,22.40833333,24.69978758,0.2558346621953619,-0.5264705645809954,4956.388299127407
32,-0.7285611024137325,-0.5237835426139125,0,70.9368925,0.8893184573128949,-1.840711090931173,1.055545994984349,-12.7,0,0.12767178869697765,70.65259,70.11262,1.2738706550204975,0.6134637751015928,-1.67718,-31.825,-1.4,70.62560917,22.40833333,24.13601813,0.029973487674846783,-0.7318490968744492,5032.773227469062
32,-0.7285611024137325,-0.5237835426139125,0,70.662542,0.5805854976050713,-1.840711090931173,1.2823721492909081,-16.9,0,0.06333510514501657,70.16483667,69.56514,1.2738706550204975,0.6134637751015928,-1.46326,-31.825,-1.2,70.62560917,22.40833333,23.9424,-0.08295709958541145,-1.03991689531463,5039.299997702258
32,-0.7285611024137325,-0.5237835426139125,0,70.21139,0.22450505230150286,-1.840711090931173,1.4140906277467877,-21.3,0,0.3206818393528609,69.73726667,69.53404,1.2738706550204975,0.6134637751015928,-1.28271,-31.825,-1.1,70.62560917,22.40833333,23.51968159,-0.15824415775891648,-0.4237812984342683,5247.522562358975
32,-0.7285611024137325,-0.5237835426139125,0,69.92219,-0.15251402092928978,-1.840711090931173,1.4409324733768585,-25.8,0,0.513691890008744,69.56052667,69.5824,1.2738706550204975,0.6134637751015928,-0.53022,-31.825,-0.6,70.62560917,22.40833333,23.23140034,-0.19588768684566968,0.2950435645928199,5268.667404497933
32,-0.7285611024137325,-0.5237835426139125,0,69.726618,-0.5225099421732744,-1.840711090931173,1.3609069492840118,-30.1,0,0.449355206456783,69.65177667,69.83889,1.2738706550204975,0.6134637751015928,0.27375,-31.825,-0.1,70.62560917,22.40833333,23.6876124,-0.12060062867216463,-0.6291598307277224,5269.285623519908
32,-0.7285611024137325,-0.5237835426139125,0,69.852122,-0.8580418065704966,-1.840711090931173,1.1799491824978008,-33.8,0,0.3850185229048219,70.05381,70.74014,1.2738706550204975,0.6134637751015928,1.2061,-31.825,0.7,70.62560917,22.40833333,24.11148869,0.10526054584835182,0.19235429844609334,5256.283081383549
32,-0.7285611024137325,-0.5237835426139125,0,70.151482,-1.1342247506947576,-1.840711090931173,0.9114799827540598,-37.1,0,0.12767178869697765,70.54699,71.06194,1.2738706550204975,0.6134637751015928,1.47954,-31.825,1.2,70.62560917,22.40833333,24.50232933,0.2558346621953619,0.3977328307395469,5202.506794605172
